line,customers,load,cost
373,2.0,2.4200280000000003,0.0
374,,,
375,,,
376,1.0,2.74003,0.0
377,1.0,2.74003,0.0
378,1.0,2.74003,0.0
379,,,
380,,,
381,,,
382,1.0,2.74003,0.0
383,1.0,0.760008,0.0
384,1.0,2.74003,0.0
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,1.0,98.201,0.0
393,1.0,128.431,0.0
394,1.0,53.6005,0.0
395,1.0,1.66002,0.0
396,1.0,173.842,0.0
397,1.0,0.760008,0.0
398,1.0,2.74003,0.0
399,1.0,28.5803,0.0
400,,,
401,,,
402,,,
403,,,
404,1.0,63.1206,0.0
405,1.0,16.1102,0.0
406,,,
407,,,
408,,,
409,,,
410,,,
411,1.0,1.66002,0.0
412,,,
413,,,
414,,,
415,1.0,1.66002,0.0
416,,,
417,1.0,33.8403,0.0
418,1.0,8.13008,0.0
419,,,
420,,,
421,1.0,2.74003,0.0
422,1.0,2.74003,0.0
423,1.0,0.760008,0.0
424,1.0,0.760008,0.0
425,1.0,1.66002,0.0
426,,,
427,1.0,128.431,0.0
428,1.0,1.66002,0.0
429,,,
430,,,
431,1.0,8.13008,0.0
432,,,
433,1.0,128.431,0.0
434,2.0,3.32004,0.0
435,,,
436,,,
437,,,
438,1.0,2.74003,0.0
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,2.0,3.32004,0.0
449,,,
450,,,
451,,,
452,1.0,2.74003,0.0
453,,,
454,,,
455,,,
456,1.0,2.12002,0.0
457,,,
458,1.0,0.760008,0.0
459,,,
460,,,
461,1.0,2.74003,0.0
462,1.0,117.561,0.0
463,,,
464,1.0,0.760008,0.0
465,,,
466,1.0,9.7401,0.0
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,2.0,4.40005,0.0
476,,,
477,2.0,3.32004,0.0
478,,,
479,,,
480,1.0,28.5803,0.0
481,1.0,51.6805,0.0
482,,,
483,,,
484,,,
485,,,
486,1.0,28.5803,0.0
487,1.0,2.74003,0.0
488,,,
489,1.0,96.241,0.0
490,1.0,1.66002,0.0
491,,,
492,,,
493,,,
494,,,
495,,,
496,1.0,1.66002,0.0
497,1.0,1.66002,0.0
498,,,
499,2.0,1.520016,0.0
500,1.0,1.66002,0.0
501,1.0,75.3608,0.0
502,,,
503,,,
504,1.0,84.3608,0.0
505,,,
506,,,
507,1.0,2.74003,0.0
508,1.0,2.74003,0.0
509,1.0,10.2401,0.0
510,,,
511,1.0,0.760008,0.0
512,,,
513,,,
514,,,
515,1.0,0.490005,0.0
516,,,
517,1.0,27.6503,0.0
518,,,
519,,,
520,1.0,0.490005,0.0
521,,,
522,,,
523,1.0,12.5501,0.0
524,,,
525,,,
526,1.0,0.450005,0.0
527,,,
528,,,
529,,,
530,1.0,40.7404,0.0
531,,,
532,,,
533,,,
534,1.0,2.74003,0.0
535,1.0,6.48006,0.0
536,,,
537,1.0,8.740089999999999,0.0
538,,,
539,1.0,2.74003,0.0
540,1.0,28.5803,0.0
541,,,
542,,,
543,,,
544,1.0,8.13008,0.0
545,,,
546,1.0,1.66002,0.0
547,,,
548,1.0,20.2402,0.0
549,1.0,2.23002,0.0
550,,,
551,,,
552,1.0,7.360069999999999,0.0
553,1.0,162.162,0.0
554,,,
555,,,
556,,,
557,1.0,25.0803,0.0
558,1.0,1.66002,0.0
559,1.0,2.74003,0.0
560,,,
561,,,
562,2.0,2.4200280000000003,0.0
563,,,
564,,,
565,,,
566,1.0,1.66002,0.0
567,,,
568,,,
569,,,
570,,,
571,,,
572,,,
